base,arm,target,action,hashcode,qvalue,frequency
0.98398,1.11416,0,left,0_0_0,0.0,0
0.98398,1.11416,0,right,0_0_0,0.0,0
0.98398,1.11416,0,up,0_0_0,0.0,0
0.98398,1.11416,0,down,0_0_0,0.0,0
0.98398,1.11416,0,fire,0_0_0,0.0,0
0.98398,1.11416,1,left,0_0_1,0.0,0
0.98398,1.11416,1,right,0_0_1,0.0,0
0.98398,1.11416,1,up,0_0_1,0.0,0
0.98398,1.11416,1,down,0_0_1,0.0,0
0.98398,1.11416,1,fire,0_0_1,0.0,0
0.98398,1.11416,2,left,0_0_2,0.0,0
0.98398,1.11416,2,right,0_0_2,0.0,0
0.98398,1.11416,2,up,0_0_2,0.0,0
0.98398,1.11416,2,down,0_0_2,0.0,0
0.98398,1.11416,2,fire,0_0_2,0.0,0
0.98398,1.11416,3,left,0_0_3,0.0,0
0.98398,1.11416,3,right,0_0_3,0.0,0
0.98398,1.11416,3,up,0_0_3,0.0,0
0.98398,1.11416,3,down,0_0_3,0.0,0
0.98398,1.11416,3,fire,0_0_3,0.0,0
0.98398,1.11416,4,left,0_0_4,0.0,0
0.98398,1.11416,4,right,0_0_4,0.0,0
0.98398,1.11416,4,up,0_0_4,0.0,0
0.98398,1.11416,4,down,0_0_4,0.0,0
0.98398,1.11416,4,fire,0_0_4,0.0,0
0.98398,1.11416,5,left,0_0_5,0.0,0
0.98398,1.11416,5,right,0_0_5,0.0,0
0.98398,1.11416,5,up,0_0_5,0.0,0
0.98398,1.11416,5,down,0_0_5,0.0,0
0.98398,1.11416,5,fire,0_0_5,0.0,0
0.98398,1.11416,6,left,0_0_6,0.0,0
0.98398,1.11416,6,right,0_0_6,0.0,0
0.98398,1.11416,6,up,0_0_6,0.0,0
0.98398,1.11416,6,down,0_0_6,0.0,0
0.98398,1.11416,6,fire,0_0_6,0.0,0
0.98398,1.11416,7,left,0_0_7,0.0,0
0.98398,1.11416,7,right,0_0_7,0.0,0
0.98398,1.11416,7,up,0_0_7,0.0,0
0.98398,1.11416,7,down,0_0_7,0.0,0
0.98398,1.11416,7,fire,0_0_7,0.0,0
0.98398,1.11416,8,left,0_0_8,0.0,0
0.98398,1.11416,8,right,0_0_8,0.0,0
0.98398,1.11416,8,up,0_0_8,0.0,0
0.98398,1.11416,8,down,0_0_8,0.0,0
0.98398,1.11416,8,fire,0_0_8,0.0,0
0.98398,1.11416,9,left,0_0_9,0.0,0
0.98398,1.11416,9,right,0_0_9,0.0,0
0.98398,1.11416,9,up,0_0_9,0.0,0
0.98398,1.11416,9,down,0_0_9,0.0,0
